id,country,code,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013
678,Sao Tome,STP,n/a,3.19,1.99,6.74,4.55,1.63,12.64,2,9.07,4.02,4.51,4.94,4,4
682,Saudi Arabia,SAU,4.86,0.55,0.13,8.29,8.62,7.26,5.58,5.99,8.43,1.83,7.43,8.57,5.81,3.8
686,Senegal,SEN,3.2,4.58,0.65,6.68,5.87,5.62,2.46,4.94,3.68,2.42,4.27,2.07,3.45,4.05
688,Serbia,SRB,5.34,5.3,4.12,2.67,9.3,5.4,3.6,5.4,3.8,-3.51,1.01,1.57,-1.52,2.46
690,Seychelles,SYC,4.2,-2.27,1.3,-6.33,-2.48,9.01,9.41,10.42,-2.14,-1.11,5.64,5.01,2.9,3.5
694,Sierra Leone,SLE,6.65,-7.14,26.27,9.38,6.42,4.33,5.66,8.04,5.32,3.25,5.44,6.03,15.22,20.1
702,Singapore,SGP,8.9,-0.95,4.21,4.44,9.55,7.49,8.86,9.11,1.79,-0.6,15.24,6.06,2.5,3.85
703,Slovakia,SVK,1.37,3.48,4.58,4.78,5.06,6.66,8.35,10.49,5.75,-4.93,4.18,3,1.8,
704,Vietnam,VNM,6.79,6.19,6.32,6.9,7.54,7.55,6.98,7.13,5.66,5.4,6.42,6.24,5.25,5.42
705,Slovenia,SVN,4.27,2.94,3.83,2.93,4.4,4.01,5.85,6.87,3.59,-8.01,1.38,0.7,-2.5,
706,Somalia,SOM,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.6,n/a,2.6,n/a,2.6,n/a
710,South Africa,ZAF,4.15,2.74,3.67,2.95,4.55,5.28,5.6,5.55,3.62,-1.53,3.14,3.6,2.47,1.89
716,Zimbabwe,ZWE,-3.06,1.44,-8.89,-17,-5.81,-5.71,-3.46,-3.65,-17.67,5.98,11.38,11.91,5.32,1.81
724,Spain,ESP,5.05,3.67,2.71,3.09,3.26,3.58,4.08,3.48,0.89,-3.83,-0.2,0.05,-1.64,-1.22
728,South Sudan,SSD,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,7.02,3.12,2.63,-48.98,24.4
729,Sudan,SDN,6.35,6.5,6.43,7.73,3.88,7.49,10.06,11.52,3,3.23,3.48,-3.29,-10.1,-6
740,Suriname,SUR,-0.07,4.55,4.3,6.01,9.26,4.57,3.84,5.11,4.14,3.01,4.22,5.29,3.88,4.44
748,Swaziland,SWZ,1.76,1.16,1.78,2.24,2.91,2.46,3.3,3.5,2.36,1.27,1.87,-0.66,1.92,2.79
752,Sweden,SWE,4.45,1.26,2.48,2.34,4.23,3.16,4.3,3.31,-0.61,-5.03,6.56,2.93,0.93,1.53
756,Switzerland,CHE,3.67,1.24,0.19,0.02,2.42,2.69,3.75,3.85,2.16,-1.94,2.95,1.79,1.05,1.96
760,Syria,SYR,2.74,5.2,5.9,0.6,6.9,6.2,5,5.7,n/a,n/a,n/a,n/a,n/a,n/a
762,Tajikistan,TJK,8.3,10.2,10.8,11,10.3,6.7,7,7.8,7.9,3.8,6.5,7.4,7.5,7.4
764,Thailand,THA,4.75,2.17,5.32,7.14,6.34,4.6,5.09,5.04,2.48,-2.33,7.81,0.08,7.67,1.77
768,Togo,TGO,-0.78,-1.63,-0.92,4.95,2.12,1.18,4.05,2.29,2.23,3.51,4,4.88,5.91,5.12
776,Tonga,TON,3.37,3.6,3.42,2.16,0.99,2.38,-1.61,-4.14,0.9,3.24,3.33,2.88,0.85,0.5
780,Trinidad and Tobago,TTO,6.13,4.09,8.01,14.43,7.9,5.76,13.74,4.75,3.39,-4.39,0.21,-1.6,1.52,1.6
784,United Arab Emirates,ARE,10.85,1.4,2.43,8.8,9.57,4.86,9.84,3.18,3.19,-4.8,1.67,3.88,4.37,n/a
788,Tunisia,TUN,4.71,4.21,1.72,5.38,5.62,3.82,5.65,6.22,4.74,3.61,3.61,-0.23,4.09,2.81
